0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
38400,40200,39800,40100,40000,40900,42200,48000
38400,40200,39800,40100,40000,40900,42200,48000
38400,40200,39800,40100,40000,40900,42200,48000
38400,40200,39800,40100,40000,40900,42200,48000
38400,40200,39800,40100,40000,41000,42200,48000
38400,40200,39800,40100,40000,41000,42200,48100
38400,40200,39800,40100,40000,41000,42200,48100
38500,40200,39800,40200,40000,41000,42200,48100
38500,40200,39800,40200,40000,41000,42200,48100
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42200,48200
38500,40200,39800,40200,40000,41000,42300,48300
38500,40200,39800,40200,40000,41000,42300,48300
38500,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48300
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38600,40200,39800,40200,40000,41000,42300,48400
38700,40200,39800,40200,40000,41000,42300,48400
38700,40200,39800,40200,40000,41000,42300,48400
38700,40200,39800,40200,40000,41000,42300,48400
38700,40200,39800,40200,40000,41000,42300,48400
38700,40200,39800,40200,40000,41000,42300,48500
38700,40200,39800,40200,40000,41000,42300,48500
38700,40200,39800,40200,40000,41000,42400,48500
38700,40200,39800,40200,40000,41000,42400,48500
38700,40200,39800,40200,40000,41000,42400,48500
38700,40200,39800,40200,40000,41000,42400,48500
38700,40200,39800,40200,40000,41100,42400,48500
38700,40200,39800,40200,40000,41100,42400,48500
38700,40300,39800,40200,40000,41100,42400,48500
38700,40300,39800,40200,40000,41100,42400,48600
38700,40300,39800,40200,40000,41100,42400,48600
38700,40300,39800,40200,40000,41100,42400,48600
38700,40300,39800,40200,40000,41100,42400,48600
38800,40300,39800,40200,40000,41100,42400,48600
38800,40300,39800,40200,40000,41100,42400,48600
38800,40300,39800,40200,40000,41100,42400,48600
38800,40300,39800,40200,40000,41100,42400,48600
38800,40300,39900,40200,40000,41100,42400,48600
38800,40300,39900,40300,40000,41100,42400,48600
38800,40300,39900,40300,40000,41100,42400,48600
38800,40300,39900,40300,40000,41100,42400,48600
38800,40300,39900,40300,40000,41100,42400,48700
38800,40300,39900,40300,40000,41100,42400,48700
38900,40300,39900,40300,40000,41100,42400,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48700
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42500,48800
38900,40300,39900,40300,40000,41100,42600,48800
38900,40300,39900,40300,40000,41100,42600,48800
38900,40300,39900,40300,40000,41100,42600,48800
39000,40300,39900,40300,40000,41100,42600,48800
39000,40300,39900,40300,40000,41100,42600,48800
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41100,42600,48900
39000,40300,39900,40300,40000,41200,42600,48900
39000,40300,39900,40300,40000,41200,42600,48900
